date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:47	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2014:54:46%20GMT	https://www.huisartsenpraktijkrolde.nl/robots.txt		(from )
16:54:47	37367/37367	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:54:46%20GMT	https://www.huisartsenpraktijkrolde.nl/	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/index.html	(from )
16:54:48	153111/153111	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2008:25:20%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/css/bootstrap.min.css	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/css/bootstrap.min.css	(from https://www.huisartsenpraktijkrolde.nl/)
16:54:49	58129/58129	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2008:25:20%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/css/animate.min.css	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/css/animate.min.css	(from https://www.huisartsenpraktijkrolde.nl/)
16:54:50	2333/2333	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2008:25:36%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/fonts/flaticon.css	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/fonts/flaticon.css	(from https://www.huisartsenpraktijkrolde.nl/)
16:54:51	61773/61773	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2008:25:21%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/css/boxicons.min.css	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/css/boxicons.min.css	(from https://www.huisartsenpraktijkrolde.nl/)
16:54:52	3355/3355	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2008:25:23%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/css/owl.carousel.min.css	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/css/owl.carousel.min.css	(from https://www.huisartsenpraktijkrolde.nl/)
16:54:53	1013/1013	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2008:25:21%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/css/owl.theme.default.min.css	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/css/owl.theme.default.min.css	(from https://www.huisartsenpraktijkrolde.nl/)
16:54:54	3117/3117	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2008:25:23%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/css/nice-select.min.css	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/css/nice-select.min.css	(from https://www.huisartsenpraktijkrolde.nl/)
16:54:55	6979/6979	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2008:25:22%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/css/meanmenu.css	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/css/meanmenu.css	(from https://www.huisartsenpraktijkrolde.nl/)
16:54:56	136725/136725	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Apr%202024%2012:12:57%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/css/style.css	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/css/style.css	(from https://www.huisartsenpraktijkrolde.nl/)
16:54:57	40374/40374	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2008:25:22%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/css/responsive.css	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/css/responsive.css	(from https://www.huisartsenpraktijkrolde.nl/)
16:54:58	4693/4693	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:42%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/apple-icon-57x57.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/apple-icon-57x57.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:54:59	5096/5096	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:42%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/apple-icon-60x60.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/apple-icon-60x60.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:00	6644/6644	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:42%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/apple-icon-72x72.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/apple-icon-72x72.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:01	7238/7238	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:42%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/apple-icon-76x76.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/apple-icon-76x76.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:02	13626/13626	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:42%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/apple-icon-114x114.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/apple-icon-114x114.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:03	14760/14760	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:42%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/apple-icon-120x120.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/apple-icon-120x120.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:04	20043/20043	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:41%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/apple-icon-144x144.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/apple-icon-144x144.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:05	21627/21627	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:42%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/apple-icon-152x152.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/apple-icon-152x152.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:06	28556/28556	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:42%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/apple-icon-180x180.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/apple-icon-180x180.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:07	31651/31651	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:41%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/android-icon-192x192.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/android-icon-192x192.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:08	2329/2329	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:43%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/favicon-32x32.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/favicon-32x32.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:09	10441/10441	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:42%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/favicon-96x96.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/favicon-96x96.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:10	1328/1328	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:41%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/favicon-16x16.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/favicon-16x16.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:11	720/720	---M-Z	200	added ('OK')	application/json	date:Fri,%2028%20Jan%202022%2008:25:42%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/manifest.json	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/manifest.json	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:12	20043/20043	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:42%20GMT	https://www.huisartsenpraktijkrolde.nl/favicon/ms-icon-144x144.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/favicon/ms-icon-144x144.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:13	37367/37367	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:12%20GMT	https://www.huisartsenpraktijkrolde.nl/index.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/index-2.html	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:14	13110/13110	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2008:25:33%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/img/logo.png	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/img/logo.png	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:15	22066/22066	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:14%20GMT	https://www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-spreekuur.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-spreekuur.html	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:16	21901/21901	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:15%20GMT	https://www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-recepten.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-recepten.html	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:17	20304/20304	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:16%20GMT	https://www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-formulieren.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-formulieren.html	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:18	19447/19447	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:17%20GMT	https://www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-over-ons.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-over-ons.html	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:19	33816/33816	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:18%20GMT	https://www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-medewerkers.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-medewerkers.html	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:20	22852/22852	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:19%20GMT	https://www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-patientenenquete.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-patientenenquete.html	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:21	22226/22226	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:20%20GMT	https://www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-klachtenregeling.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-klachtenregeling.html	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:22	22281/22281	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:21%20GMT	https://www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-afspraak-maken.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-afspraak-maken.html	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:23	21694/21694	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:22%20GMT	https://www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-afspraak-afzeggen.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-afspraak-afzeggen.html	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:24	20301/20301	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:23%20GMT	https://www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-contact.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-contact.html	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:25	20854/20854	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:24%20GMT	https://www.huisartsenpraktijkrolde.nl/mijngezondheidnet.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/mijngezondheidnet.html	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:26	19558/19558	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jan%202022%2008:25:32%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/img/extra-info-mijngezondheid-net.jpg	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/img/extra-info-mijngezondheid-net.jpg	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:27	16096/16096	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jan%202022%2008:25:31%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/img/download-app-store.jpg	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/img/download-app-store.jpg	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:28	16405/16405	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jan%202022%2008:25:31%20GMT	https://www.huisartsenpraktijkrolde.nl/assets/img/download-google-play.jpg	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/assets/img/download-google-play.jpg	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:29	21975/21975	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:28%20GMT	https://www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-urinecontrole.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-urinecontrole.html	(from https://www.huisartsenpraktijkrolde.nl/)
16:55:30	24381/24381	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2014:55:29%20GMT	https://www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-privacyverklaring.php	/Users/davidammeraal/Documents/workspace/rolde-website/www.huisartsenpraktijkrolde.nl/huisartsenpraktijk-rolde-privacyverklaring.html	(from https://www.huisartsenpraktijkrolde.nl/)
